Trial #	Score1	Score2	Score3	Trades1	Trades2	Trades3	Fees1	Fees2	Fees3	Winrate1	Winrate2	Winrate3	Average	Deviation	Parameters
1598	1.11	2.1	2.55	52	1	6	509.29	7.9	49.13	60	100	100	1.92	0.73668	{'ott_len': 64, 'ott_percent': 89, 'ott_bw_up': 144, 'ott_bw_down': 104, 'tps_qty_index': 83, 'max_risk_long': 60, 'max_risk_short': 30}
1614	1.14	1.5	2.89	452	54	32	6731.15	457.45	299.16	50	52	62	1.843	0.92414	{'ott_len': 64, 'ott_percent': 165, 'ott_bw_up': 144, 'ott_bw_down': 104, 'tps_qty_index': 14, 'max_risk_long': 63, 'max_risk_short': 30}
1637	1.0	1.3	2.7	353	38	30	4243.02	331.7	252.17	56	61	67	1.667	0.90738	{'ott_len': 64, 'ott_percent': 190, 'ott_bw_up': 144, 'ott_bw_down': 124, 'tps_qty_index': 46, 'max_risk_long': 50, 'max_risk_short': 30}
1650	1.28	2.55	3.63	359	45	28	5055.89	442.22	258.34	55	56	71	2.487	1.17628	{'ott_len': 64, 'ott_percent': 190, 'ott_bw_up': 144, 'ott_bw_down': 146, 'tps_qty_index': 14, 'max_risk_long': 63, 'max_risk_short': 32}
1700	1.8	2.57	3.47	100	9	11	1507.93	73.21	100.36	62	44	100	2.613	0.83584	{'ott_len': 64, 'ott_percent': 126, 'ott_bw_up': 144, 'ott_bw_down': 153, 'tps_qty_index': 14, 'max_risk_long': 60, 'max_risk_short': 30}
1705	1.33	2.3	3.36	370	45	30	4793.23	429.38	262.92	59	60	70	2.33	1.01533	{'ott_len': 64, 'ott_percent': 190, 'ott_bw_up': 144, 'ott_bw_down': 129, 'tps_qty_index': 45, 'max_risk_long': 60, 'max_risk_short': 30}
1712	1.21	2.91	3.0	544	67	43	8794.06	657.62	389.24	58	66	63	2.373	1.00848	{'ott_len': 32, 'ott_percent': 128, 'ott_bw_up': 145, 'ott_bw_down': 112, 'tps_qty_index': 109, 'max_risk_long': 68, 'max_risk_short': 32}
1727	1.24	1.62	4.53	212	28	16	2783.02	237.99	145.38	53	50	88	2.463	1.79984	{'ott_len': 64, 'ott_percent': 190, 'ott_bw_up': 158, 'ott_bw_down': 147, 'tps_qty_index': 59, 'max_risk_long': 66, 'max_risk_short': 30}
1754	1.29	2.38	3.67	350	43	27	4057.62	409.96	244.14	59	63	74	2.447	1.1914	{'ott_len': 64, 'ott_percent': 190, 'ott_bw_up': 144, 'ott_bw_down': 160, 'tps_qty_index': 44, 'max_risk_long': 60, 'max_risk_short': 30}
1774	1.08	2.86	4.28	396	50	32	5119.49	522.22	291.48	59	62	75	2.74	1.60337	{'ott_len': 64, 'ott_percent': 194, 'ott_bw_up': 144, 'ott_bw_down': 165, 'tps_qty_index': 47, 'max_risk_long': 63, 'max_risk_short': 30}
1791	2.04	3.64	3.54	140	12	11	2402.13	101.16	98.11	64	42	100	3.073	0.89629	{'ott_len': 64, 'ott_percent': 128, 'ott_bw_up': 144, 'ott_bw_down': 112, 'tps_qty_index': 97, 'max_risk_long': 68, 'max_risk_short': 30}
